Realization,BaseSeed,SourceId,OriginalSeedSubset,SNRIndex,SNR_dB
45,45,three_line_fixed,0,2,10
45,45,three_line_fixed,0,3,15
45,45,three_line_fixed,0,4,20
45,45,three_line_fixed,0,5,30
46,46,three_line_fixed,0,1,5
46,46,three_line_fixed,0,2,10
46,46,three_line_fixed,0,3,15
46,46,three_line_fixed,0,4,20
46,46,three_line_fixed,0,5,30
47,47,three_line_fixed,0,1,5
47,47,three_line_fixed,0,2,10
47,47,three_line_fixed,0,3,15
47,47,three_line_fixed,0,4,20
47,47,three_line_fixed,0,5,30
48,48,three_line_fixed,0,1,5
48,48,three_line_fixed,0,2,10
48,48,three_line_fixed,0,3,15
48,48,three_line_fixed,0,4,20
48,48,three_line_fixed,0,5,30
49,49,three_line_fixed,0,1,5
49,49,three_line_fixed,0,2,10
49,49,three_line_fixed,0,3,15
49,49,three_line_fixed,0,4,20
49,49,three_line_fixed,0,5,30
50,50,three_line_fixed,0,1,5
50,50,three_line_fixed,0,2,10
50,50,three_line_fixed,0,3,15
50,50,three_line_fixed,0,4,20
50,50,three_line_fixed,0,5,30
