Metric,Family,Method,MeanRank
TerminalBranchRecovery,cluttered,SCF-DAS,5.55555555555556
TerminalBranchRecovery,cluttered,DMAS,3.05555555555556
TerminalBranchRecovery,cluttered,DS-DMAS,4.38888888888889
TerminalBranchRecovery,cluttered,TR,1.22222222222222
TerminalBranchRecovery,fluence,DAS,1.77777777777778
TerminalBranchRecovery,fluence,CF-DAS,4.5
TerminalBranchRecovery,fluence,SCF-DAS,5.88888888888889
TerminalBranchRecovery,fluence,DMAS,3.27777777777778
TerminalBranchRecovery,fluence,DS-DMAS,4.33333333333333
TerminalBranchRecovery,fluence,TR,1.22222222222222
