FamilyID,SNR_dB,Metric,MetricLabel,N,Method,MeanRank,MedianRank,FinalMeanRank_N50,MeanRankShiftFromN50
4,5,CNR,CNR,40,DS-DMAS,5,5,5,0
4,5,CNR,CNR,40,TR,1.025,1,1.04,-0.0150000000000001
4,5,CNR,CNR,50,DAS,1.96,2,1.96,0
4,5,CNR,CNR,50,CF-DAS,3,3,3,0
4,5,CNR,CNR,50,SCF-DAS,6,6,6,0
4,5,CNR,CNR,50,DMAS,4,4,4,0
4,5,CNR,CNR,50,DS-DMAS,5,5,5,0
4,5,CNR,CNR,50,TR,1.04,1,1.04,0
5,5,SBR_dB,SBR,10,DAS,5,5,5.04,-0.04
5,5,SBR_dB,SBR,10,CF-DAS,2,2,2.02,-0.02
5,5,SBR_dB,SBR,10,SCF-DAS,1,1,1,0
5,5,SBR_dB,SBR,10,DMAS,4,4,3.98,0.02
5,5,SBR_dB,SBR,10,DS-DMAS,3,3,3,0
5,5,SBR_dB,SBR,10,TR,6,6,5.96,0.04
5,5,SBR_dB,SBR,20,DAS,5.05,5,5.04,0.00999999999999979
5,5,SBR_dB,SBR,20,CF-DAS,2,2,2.02,-0.02
5,5,SBR_dB,SBR,20,SCF-DAS,1,1,1,0
5,5,SBR_dB,SBR,20,DMAS,4,4,3.98,0.02
5,5,SBR_dB,SBR,20,DS-DMAS,3,3,3,0
5,5,SBR_dB,SBR,20,TR,5.95,6,5.96,-0.00999999999999979
5,5,SBR_dB,SBR,30,DAS,5.03333333333333,5,5.04,-0.00666666666666682
5,5,SBR_dB,SBR,30,CF-DAS,2,2,2.02,-0.02
5,5,SBR_dB,SBR,30,SCF-DAS,1,1,1,0
5,5,SBR_dB,SBR,30,DMAS,4,4,3.98,0.02
5,5,SBR_dB,SBR,30,DS-DMAS,3,3,3,0
5,5,SBR_dB,SBR,30,TR,5.96666666666667,6,5.96,0.00666666666666682
5,5,SBR_dB,SBR,40,DAS,5.025,5,5.04,-0.0149999999999997
5,5,SBR_dB,SBR,40,CF-DAS,2,2,2.02,-0.02
5,5,SBR_dB,SBR,40,SCF-DAS,1,1,1,0
5,5,SBR_dB,SBR,40,DMAS,4,4,3.98,0.02
5,5,SBR_dB,SBR,40,DS-DMAS,3,3,3,0
5,5,SBR_dB,SBR,40,TR,5.975,6,5.96,0.0149999999999997
5,5,SBR_dB,SBR,50,DAS,5.04,5,5.04,0
5,5,SBR_dB,SBR,50,CF-DAS,2.02,2,2.02,0
5,5,SBR_dB,SBR,50,SCF-DAS,1,1,1,0
5,5,SBR_dB,SBR,50,DMAS,3.98,4,3.98,0
5,5,SBR_dB,SBR,50,DS-DMAS,3,3,3,0
5,5,SBR_dB,SBR,50,TR,5.96,6,5.96,0
6,10,SI_NRMSE,SI-NRMSE,10,DAS,1.6,2,1.44,0.16
6,10,SI_NRMSE,SI-NRMSE,10,CF-DAS,2.1,2.5,2.26,-0.16
6,10,SI_NRMSE,SI-NRMSE,10,SCF-DAS,6,6,6,0
6,10,SI_NRMSE,SI-NRMSE,10,DMAS,4,4,4,0
6,10,SI_NRMSE,SI-NRMSE,10,DS-DMAS,5,5,5,0
6,10,SI_NRMSE,SI-NRMSE,10,TR,2.3,2.5,2.3,0
6,10,SI_NRMSE,SI-NRMSE,20,DAS,1.65,2,1.44,0.21
6,10,SI_NRMSE,SI-NRMSE,20,CF-DAS,2.15,3,2.26,-0.11
6,10,SI_NRMSE,SI-NRMSE,20,SCF-DAS,6,6,6,0
6,10,SI_NRMSE,SI-NRMSE,20,DMAS,4,4,4,0
6,10,SI_NRMSE,SI-NRMSE,20,DS-DMAS,5,5,5,0
6,10,SI_NRMSE,SI-NRMSE,20,TR,2.2,2,2.3,-0.0999999999999996
6,10,SI_NRMSE,SI-NRMSE,30,DAS,1.56666666666667,2,1.44,0.126666666666667
6,10,SI_NRMSE,SI-NRMSE,30,CF-DAS,2.3,3,2.26,0.04
6,10,SI_NRMSE,SI-NRMSE,30,SCF-DAS,6,6,6,0
6,10,SI_NRMSE,SI-NRMSE,30,DMAS,4,4,4,0
