FamilyID,SNR_dB,Metric,MetricLabel,N,P_Friedman,Kendall_W,SpearmanToN50,CheckpointWinner,FinalWinner_N50,WinnerMatchesFinal,MaxAbsMeanRankShift
18,20,SSIM,SSIM,30,1.09025269261877e-29,0.971428571428571,0.985610760609162,SCF-DAS,SCF-DAS,1,0.02
18,20,SSIM,SSIM,40,4.70443192236297e-40,0.9715,0.942857142857143,SCF-DAS,SCF-DAS,1,0.0449999999999999
18,20,SSIM,SSIM,50,1.86204003223563e-50,0.971474285714286,1,SCF-DAS,SCF-DAS,1,0
19,20,CNR,CNR,10,1.76565273908492e-09,0.989714285714286,1,TR,TR,1,0.02
19,20,CNR,CNR,20,6.87798878795111e-20,0.994571428571429,1,TR,TR,1,0.0700000000000001
19,20,CNR,CNR,30,2.25197001916951e-30,0.992888888888889,1,TR,TR,1,0.0533333333333335
19,20,CNR,CNR,40,9.73126686403382e-41,0.9875,1,TR,TR,1,0.00499999999999989
19,20,CNR,CNR,50,2.44026766765121e-51,0.987931428571429,1,TR,TR,1,0
20,20,SBR_dB,SBR,10,1.38579733670096e-09,1,1,SCF-DAS,SCF-DAS,1,0.02
20,20,SBR_dB,SBR,20,5.28514836094325e-20,1,1,SCF-DAS,SCF-DAS,1,0.02
20,20,SBR_dB,SBR,30,1.33513788730032e-30,1,1,SCF-DAS,SCF-DAS,1,0.02
20,20,SBR_dB,SBR,40,2.84062289864151e-41,1,1,SCF-DAS,SCF-DAS,1,0.02
20,20,SBR_dB,SBR,50,9.55922894262065e-52,0.99552,1,SCF-DAS,SCF-DAS,1,0
21,30,SI_NRMSE,SI-NRMSE,10,1.15571546227358e-08,0.909714285714286,1,DAS,DAS,1,0.18
21,30,SI_NRMSE,SI-NRMSE,20,3.81235459677602e-18,0.911714285714286,1,DAS,DAS,1,0.13
21,30,SI_NRMSE,SI-NRMSE,30,4.71712265046847e-28,0.920126984126984,0.942857142857143,DAS,DAS,1,0.12
21,30,SI_NRMSE,SI-NRMSE,40,4.29426647937654e-38,0.925642857142857,1,DAS,DAS,1,0.00999999999999979
21,30,SI_NRMSE,SI-NRMSE,50,5.05111919456584e-48,0.92608,1,DAS,DAS,1,0
22,30,Correlation,Correlation,10,9.84199289717258e-09,0.916571428571429,0.985610760609162,DAS,DAS,1,0.2
