FamilyID,SNR_dB,Metric,MetricLabel,MethodA,MethodB,MedianDelta_AminusB_Raw,RawMedianCI95_Low,RawMedianCI95_High,MedianDelta_Oriented,OrientedMedianCI95_Low,OrientedMedianCI95_High,P_Wilcoxon_Raw,RankBiserial,Seeds_A_Better,Seeds_B_Better,Seeds_Tied,P_Wilcoxon_Holm15,Significant_Holm15,P_Wilcoxon_Holm375,Significant_Holm375,OmnibusSignificant_Holm25,PrimaryPairwiseSignificant
4,5,CNR,CNR,DMAS,TR,-1.58086237866591,-1.62337908658484,-1.56512003851757,-1.58086237866591,-1.62337908658484,-1.56512003851757,7.55692945586362e-10,-1,0,50,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
4,5,CNR,CNR,DS-DMAS,TR,-1.88673382906035,-1.89479740613592,-1.87505882464367,-1.88673382906035,-1.89479740613592,-1.87505882464367,7.55692945586362e-10,-1,0,50,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
5,5,SBR_dB,SBR,DAS,CF-DAS,-8.9312837879203,-9.14071869221715,-8.5367908452829,-8.9312837879203,-9.14071869221715,-8.5367908452829,7.55692945586362e-10,-1,0,50,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
5,5,SBR_dB,SBR,DAS,SCF-DAS,-14.7592982631326,-15.2607838715778,-14.2650784813914,-14.7592982631326,-15.2607838715778,-14.2650784813914,7.55692945586362e-10,-1,0,50,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
5,5,SBR_dB,SBR,DAS,DMAS,-3.98662912349275,-4.1072610584495,-3.8228717102377,-3.98662912349275,-4.1072610584495,-3.8228717102377,7.55692945586362e-10,-1,0,50,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
5,5,SBR_dB,SBR,DAS,DS-DMAS,-6.14650551742325,-6.5086309322422,-5.75830028929,-6.14650551742325,-6.5086309322422,-5.75830028929,7.55692945586362e-10,-1,0,50,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
5,5,SBR_dB,SBR,DAS,TR,0.383462208726099,0.323566861833701,0.443344828929275,0.383462208726099,0.323566861833701,0.443344828929275,1.15483346862619e-09,0.989019607843137,48,2,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
5,5,SBR_dB,SBR,CF-DAS,SCF-DAS,-5.91886992458145,-6.37734428779175,-5.15170114789845,-5.91886992458145,-6.37734428779175,-5.15170114789845,7.55692945586362e-10,-1,0,50,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
5,5,SBR_dB,SBR,CF-DAS,DMAS,4.9146763244411,4.59179722703995,5.1794691086474,4.9146763244411,4.59179722703995,5.1794691086474,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
5,5,SBR_dB,SBR,CF-DAS,DS-DMAS,2.84299767537565,2.35099765649925,3.04581977031055,2.84299767537565,2.35099765649925,3.04581977031055,8.53422673646544e-10,0.996862745098039,49,1,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
5,5,SBR_dB,SBR,CF-DAS,TR,9.24428975189745,8.8778388383455,9.6175627010204,9.24428975189745,8.8778388383455,9.6175627010204,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
5,5,SBR_dB,SBR,SCF-DAS,DMAS,10.8024071786883,10.3783669128103,11.2527924005708,10.8024071786883,10.3783669128103,11.2527924005708,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
5,5,SBR_dB,SBR,SCF-DAS,DS-DMAS,8.6950238849293,8.458162483128,8.9239006524252,8.6950238849293,8.458162483128,8.9239006524252,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
5,5,SBR_dB,SBR,SCF-DAS,TR,15.0534433517912,14.7013038573391,15.7027175318698,15.0534433517912,14.7013038573391,15.7027175318698,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
5,5,SBR_dB,SBR,DMAS,DS-DMAS,-2.1608873691441,-2.48302105876425,-1.9007515543597,-2.1608873691441,-2.48302105876425,-1.9007515543597,8.03109090704699e-10,-0.99843137254902,1,49,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
5,5,SBR_dB,SBR,DMAS,TR,4.36999152028975,4.18108644824181,4.4653664028822,4.36999152028975,4.18108644824181,4.4653664028822,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
5,5,SBR_dB,SBR,DS-DMAS,TR,6.5238844076665,5.90186928604725,7.0514179733417,6.5238844076665,5.90186928604725,7.0514179733417,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
6,10,SI_NRMSE,SI-NRMSE,DAS,CF-DAS,-0.0118814074718465,-0.019026098928414,-0.00305619396004603,0.0118814074718465,0.00305619396004603,0.019026098928414,0.000335540628361421,0.582745098039216,38,12,0,0.000671081256722842,1,0.00603973131050558,1,1,1
6,10,SI_NRMSE,SI-NRMSE,DAS,SCF-DAS,-0.263532717730188,-0.265856112816904,-0.259164289692339,0.263532717730188,0.259164289692339,0.265856112816903,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
6,10,SI_NRMSE,SI-NRMSE,DAS,DMAS,-0.16995323079084,-0.175711030600959,-0.166310986113714,0.16995323079084,0.166310986113714,0.175711030600959,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
6,10,SI_NRMSE,SI-NRMSE,DAS,DS-DMAS,-0.242347006116,-0.245317394395329,-0.237812342298245,0.242347006116,0.237812342298245,0.245317394395329,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
6,10,SI_NRMSE,SI-NRMSE,DAS,TR,-0.013087760426672,-0.0169297227426905,-0.00930763313396508,0.013087760426672,0.00930763313396507,0.0169297227426905,2.52657520785658e-06,0.764705882352941,40,10,0,7.57972562356974e-06,1,6.31643801964145e-05,1,1,1
6,10,SI_NRMSE,SI-NRMSE,CF-DAS,SCF-DAS,-0.249911425922117,-0.262825806811483,-0.243574451404978,0.249911425922117,0.243574451404978,0.262825806811483,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
6,10,SI_NRMSE,SI-NRMSE,CF-DAS,DMAS,-0.154807288105107,-0.163365903165658,-0.150132395016029,0.154807288105107,0.150132395016029,0.163365903165658,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
6,10,SI_NRMSE,SI-NRMSE,CF-DAS,DS-DMAS,-0.227716786682484,-0.240964934720427,-0.221011245901129,0.227716786682484,0.221011245901129,0.240964934720427,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
6,10,SI_NRMSE,SI-NRMSE,CF-DAS,TR,-0.000119349332315499,-0.013130075486393,0.00928402100109005,0.000119349332315499,-0.00928402100109005,0.013130075486393,0.739105512770524,-0.0541176470588235,25,25,0,0.739105512770524,0,1,0,1,0
6,10,SI_NRMSE,SI-NRMSE,SCF-DAS,DMAS,0.092698645355513,0.085011473641353,0.098227945281573,-0.092698645355513,-0.098227945281573,-0.085011473641353,7.55692945586362e-10,-1,0,50,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
6,10,SI_NRMSE,SI-NRMSE,SCF-DAS,DS-DMAS,0.0207795960348925,0.019646866360319,0.0226270060677936,-0.0207795960348925,-0.0226270060677936,-0.019646866360319,7.55692945586362e-10,-1,0,50,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
6,10,SI_NRMSE,SI-NRMSE,SCF-DAS,TR,0.250462757788524,0.249024408635444,0.251671123563159,-0.250462757788524,-0.251671123563159,-0.249024408635444,7.55692945586362e-10,-1,0,50,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
6,10,SI_NRMSE,SI-NRMSE,DMAS,DS-DMAS,-0.0740497220484255,-0.077618511236851,-0.0646929760693225,0.0740497220484255,0.0646929760693225,0.077618511236851,7.55692945586362e-10,1,50,0,0,1.13353941837954e-08,1,2.83384854594886e-07,1,1,1
