StageIndex,Stage,StageLabel,Method,Raw_NRMSE,SI_NRMSE,Correlation,SSIM,CNR,SBR_dB,ScaleFactor,Signal_RMS,Background_RMS,ZeroBackground,Runtime_s,RuntimeDefinition,ReconSoundSpeedModel,FiniteApertureTreatment
2,D2_finite_aperture,+ Finite aperture,CF-DAS,0.998659976599208,0.833842771341652,0.55921734970267,0.884140283268235,0.739017018302525,16.3927765441266,227.040091709154,0.00111890891710463,0.000169494616142366,0,0.06707,shared_delay_plus_method_weighting,scalar_c_1500,physical_element_centres
2,D2_finite_aperture,+ Finite aperture,SCF-DAS,0.999831256662564,0.935908436404052,0.355929091485028,0.86294443264447,0.37516681097434,18.5484948579745,734.85235487414,0.00023686712610687,2.79949726739297e-05,0,0.1032458,shared_delay_plus_method_weighting,scalar_c_1500,physical_element_centres
2,D2_finite_aperture,+ Finite aperture,DMAS,0.997229300105235,0.82275019073193,0.560087785370357,0.700022668798544,0.863393874951683,15.5403096473276,116.266288399339,0.00211122336851539,0.000352791978513931,0,0.1228303,shared_delay_plus_method_weighting,scalar_c_1500,physical_element_centres
2,D2_finite_aperture,+ Finite aperture,DS-DMAS,0.998961299605371,0.900765331591348,0.415593589069055,0.871637992291471,0.610089632590422,13.9528775185744,181.187032088628,0.000939143778008681,0.000188403171671311,0,1.8167922,shared_delay_plus_method_weighting,scalar_c_1500,physical_element_centres
2,D2_finite_aperture,+ Finite aperture,TR,0.804109861145523,0.76083139012955,0.661675923603998,0.772265264635698,1.51029525322865,15.11225062408,1.66952532662948,0.162545860483468,0.0285340476858048,0,25.8828627,actual_TR_wall_time,recorded_c_rho_maps,equivalent_element_centres
3,D3_heterogeneity,+ Heterogeneity,DAS,0.986788524211162,0.733840404014964,0.688991810853345,0.807085716386668,1.30838325480402,16.6074650424773,34.6550607955611,0.00881251839384893,0.00130234721109095,0,0.0706806,shared_delay_plus_method_weighting,scalar_c_1500,physical_element_centres
3,D3_heterogeneity,+ Heterogeneity,CF-DAS,0.998977431554666,0.846362655229078,0.538160598874766,0.884098710948062,0.571006458291071,18.8975103423323,277.050557179794,0.00097019961570573,0.000110150273834909,0,0.0711553,shared_delay_plus_method_weighting,scalar_c_1500,physical_element_centres
3,D3_heterogeneity,+ Heterogeneity,SCF-DAS,0.999858211774797,0.950754839432802,0.311343399812935,0.868426820230682,0.282418568197217,20.7933965083751,677.073851479795,0.000239300097615617,2.18410267291914e-05,0,0.090543,shared_delay_plus_method_weighting,scalar_c_1500,physical_element_centres
3,D3_heterogeneity,+ Heterogeneity,DMAS,0.997919904384968,0.852469737607343,0.52029066832023,0.66762207315855,0.660584430021981,16.539395398227,131.020828380271,0.00179325974357539,0.000267099717887402,0,0.109443,shared_delay_plus_method_weighting,scalar_c_1500,physical_element_centres
3,D3_heterogeneity,+ Heterogeneity,DS-DMAS,0.999199849596914,0.917279421023298,0.380056977468809,0.869088783152987,0.490974119784245,14.6832452994295,197.788879103904,0.000814809309477177,0.000150277415490784,0,1.8710361,shared_delay_plus_method_weighting,scalar_c_1500,physical_element_centres
