Replicate,MorphologySeed,Family,Acquisition,AcquisitionLabel,Channels,CenterFrequency_MHz,FractionalBandwidth_percent,Method,Segments,BranchPoints,TerminalPoints,CMean_mps,CStd_mps,RhoMean_kgm3,RhoStd_kgm3,Corr_C_Rho,AchievedSNR_dB,Raw_NRMSE,SI_NRMSE,Correlation,SSIM,CNR,SBR_dB,ScaleFactor,Signal_RMS,Background_RMS,CenterlineRecall,MeanSegmentContinuity,MedianSegmentContinuity,BranchPointRecovery,TerminalBranchRecovery,LowFluenceTerminalRecovery,HighFluenceTerminalRecovery,VesselToClutterRatio_dB,Runtime_s,RuntimeDefinition,ReconstructionPhysicsModel,FiniteApertureTreatment
2,202,fluence,A2_N96,"96 ch, 2 MHz",96,2,80,CF-DAS,28,13,15,1499.57390309705,17.7700274021683,999.827482284771,14.227702178824,0.411901033818716,20.0000001571708,0.999015034386555,0.840325989447039,0.546307433758619,0.869104296827466,0.756351489129491,17.7542964624938,297.983711691805,0.000956040947452086,0.00012381169536745,0.738095238095238,0.738095238095238,0.866666666666667,0.846153846153846,0.666666666666667,0.5,0.857142857142857,NaN,0.1047331,shared_delay_plus_weighting,scalar_c_1500,physical_element_centres
2,202,fluence,A2_N96,"96 ch, 2 MHz",96,2,80,SCF-DAS,28,13,15,1499.57390309705,17.7700274021683,999.827482284771,14.227702178824,0.411901033818716,20.0000001571708,0.99992766472662,0.965799635314692,0.265339355053239,0.869827373390007,0.383987679537795,15.0398320780804,928.970139305348,0.00013024096289966,2.30545152189794e-05,0.380952380952381,0.380952380952381,0.3,0.615384615384615,0.466666666666667,0.375,0.571428571428571,NaN,0.1316798,shared_delay_plus_weighting,scalar_c_1500,physical_element_centres
2,202,fluence,A2_N96,"96 ch, 2 MHz",96,2,80,DMAS,28,13,15,1499.57390309705,17.7700274021683,999.827482284771,14.227702178824,0.411901033818716,20.0000001571708,0.998335282527404,0.895991091705194,0.45082336560095,0.448965111945518,0.70010168431957,14.7227363501893,118.055072792661,0.00170879468307848,0.000313727845143633,0.754761904761905,0.754761904761905,0.866666666666667,0.923076923076923,0.733333333333333,0.625,0.857142857142857,NaN,0.1536721,shared_delay_plus_weighting,scalar_c_1500,physical_element_centres
2,202,fluence,A2_N96,"96 ch, 2 MHz",96,2,80,DS-DMAS,28,13,15,1499.57390309705,17.7700274021683,999.827482284771,14.227702178824,0.411901033818716,20.0000001571708,0.999480140885697,0.939008317191807,0.324456420088651,0.835873885014897,0.446569880255744,15.4810604311729,227.049256056419,0.000719290845419284,0.000121018429158457,0.566666666666667,0.566666666666667,0.633333333333333,0.692307692307692,0.6,0.5,0.714285714285714,NaN,3.0700068,shared_delay_plus_weighting,scalar_c_1500,physical_element_centres
2,202,fluence,A2_N96,"96 ch, 2 MHz",96,2,80,TR,28,13,15,1499.57390309705,17.7700274021683,999.827482284771,14.227702178824,0.411901033818716,20.0000001571708,0.833244859835375,0.711714416733793,0.717523374630542,0.652739071097937,2.07725875779042,15.1422169449015,2.60988944855861,0.124124464308535,0.0217143353143861,0.995238095238095,0.995238095238095,1,1,1,1,1,NaN,60.7820896,actual_TR_wall_time,heterogeneous_recorded_c_rho,equivalent_element_centres
2,202,fluence,A3_fc3MHz,"128 ch, 3 MHz",128,3,80,DAS,28,13,15,1499.57390309705,17.7700274021683,999.827482284771,14.227702178824,0.411901033818716,19.9999997739104,0.990999415807032,0.7371588912904,0.684192441072601,0.766610470815524,1.46744018772505,17.4911426864067,50.4540072869844,0.00672356697076664,0.000897516829264744,0.990476190476191,0.990476190476191,1,1,1,1,1,NaN,0.1389616,shared_delay_plus_weighting,scalar_c_1500,physical_element_centres
2,202,fluence,A3_fc3MHz,"128 ch, 3 MHz",128,3,80,CF-DAS,28,13,15,1499.57390309705,17.7700274021683,999.827482284771,14.227702178824,0.411901033818716,19.9999997739104,0.99943288267423,0.8448686844905,0.536514889741843,0.879732345443364,0.665924044063148,21.391338696423,504.294666228976,0.000608868897983104,5.18748501672675e-05,0.766666666666667,0.766666666666667,1,0.769230769230769,0.733333333333333,0.625,0.857142857142857,NaN,0.1392197,shared_delay_plus_weighting,scalar_c_1500,physical_element_centres
2,202,fluence,A3_fc3MHz,"128 ch, 3 MHz",128,3,80,SCF-DAS,28,13,15,1499.57390309705,17.7700274021683,999.827482284771,14.227702178824,0.411901033818716,19.9999997739104,0.999950298090113,0.973282825028092,0.231669182259428,0.882493562418347,0.258521905158917,22.5499929489792,1060.26086589167,0.000125568824656769,9.36229199055319e-06,0.380952380952381,0.380952380952381,0.433333333333333,0.461538461538462,0.6,0.625,0.571428571428571,NaN,0.1735962,shared_delay_plus_weighting,scalar_c_1500,physical_element_centres
2,202,fluence,A3_fc3MHz,"128 ch, 3 MHz",128,3,80,DMAS,28,13,15,1499.57390309705,17.7700274021683,999.827482284771,14.227702178824,0.411901033818716,19.9999997739104,0.998962534341226,0.907299194999183,0.42660832157212,0.545924285339697,0.574334006461682,16.9561574914756,170.010130111307,0.00122161384249941,0.000173430737393002,0.773809523809524,0.773809523809524,0.933333333333333,0.846153846153846,0.8,0.625,1,NaN,0.2072321,shared_delay_plus_weighting,scalar_c_1500,physical_element_centres
2,202,fluence,A3_fc3MHz,"128 ch, 3 MHz",128,3,80,DS-DMAS,28,13,15,1499.57390309705,17.7700274021683,999.827482284771,14.227702178824,0.411901033818716,19.9999997739104,0.999623692480814,0.943539223785902,0.315383960039277,0.870452941440108,0.355900305695217,19.4364672698497,291.160555837354,0.000623931853814319,6.65754015996353e-05,0.585714285714286,0.585714285714286,0.7,0.769230769230769,0.733333333333333,0.625,0.857142857142857,NaN,5.6502718,shared_delay_plus_weighting,scalar_c_1500,physical_element_centres
